Rk,Unnamed: 1,Salary
1,Anthony Davis,"$54,126,450"
2,Kyrie Irving,"$36,566,002"
3,Klay Thompson,"$16,666,667"
4,Daniel Gafford,"$14,386,320"
5,P.J. Washington,"$14,152,174"
6,Cooper Flagg,"$13,825,920"
7,Caleb Martin,"$9,594,044"
8,Naji Marshall,"$9,000,000"
9,Max Christie,"$7,714,286"
10,Jaden Hardy,"$6,000,000"
11,D'Angelo Russell,"$5,685,000"
12,Dereck Lively II,"$5,253,360"
13,Dwight Powell,"$4,000,000"
14,Dante Exum,"$2,296,274"
15,Brandon Williams,"$2,270,735"
16,JaVale McGee,"$2,208,856"
17,Olivier-Maxence Prosper,"$1,002,360"
