No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5.0,Jarace Walker,PF,6-7,235,"September 4, 2003",us US,2,Houston
32.0,Jay Huff,C,7-1,240,"August 25, 1998",us US,4,Virginia
22.0,Isaiah Jackson,C,6-8,205,"January 10, 2002",us US,4,Kentucky
43.0,Pascal Siakam,PF,6-8,245,"April 2, 1994",cm CM,9,New Mexico State
26.0,Ben Sheppard,SG,6-6,190,"July 16, 2001",us US,2,Belmont
13.0,Tony Bradley,C,6-10,248,"January 8, 1998",us US,7,UNC
2.0,Andrew Nembhard,PG,6-4,191,"January 16, 2000",ca CA,3,"Florida, Gonzaga"
9.0,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,10,"Duquesne, Arizona"
0.0,Bennedict Mathurin,SF,6-5,210,"June 19, 2002",ca CA,3,Arizona
4.0,Taelon Peter (TW),SG,6-3,185,"February 27, 2002",us US,R,"Tennessee Technological University, Arkansas Tech University, Liberty"
23.0,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,5,Vanderbilt
24.0,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,6,Lipscomb
12.0,Johnny Furphy,SG,6-8,200,"December 8, 2004",au AU,1,Kansas
29.0,Quenton Jackson (TW),PG,6-4,173,"September 15, 1998",us US,3,Texas A&M
55.0,Ethan Thompson (TW),SG,6-4,195,"May 4, 1999",us US,R,Oregon State
1.0,Obi Toppin,PF,6-9,220,"March 4, 1998",us US,5,Dayton
,Kam Jones,SG,6-4,200,"February 25, 2002",us US,R,Marquette
,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us US,5,Iowa State
,Gabe McGlothan,PF,6-6,235,"March 3, 1999",us US,R,"SE Missouri State, Grand Canyon University"
