No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3.0,Desmond Bane,SG,6-6,215,"June 25, 1998",us US,5,TCU
0.0,Anthony Black,PG,6-7,200,"January 20, 2004",us US,2,Arkansas
23.0,Tristan Da Silva,SF,6-8,217,"May 15, 2001",de DE,1,Colorado
2.0,Tyus Jones,PG,6-0,196,"May 10, 1996",us US,10,Duke
34.0,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,7,Duke
35.0,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,6,
22.0,Franz Wagner,SF,6-10,220,"August 27, 2001",de DE,4,Michigan
1.0,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,6,Florida State
4.0,Jalen Suggs,PG,6-5,205,"June 3, 2001",us US,4,Gonzaga
13.0,Jett Howard,SF,6-8,215,"September 14, 2003",us US,2,Michigan
5.0,Paolo Banchero,PF,6-10,250,"November 12, 2002",us US,3,Duke
11.0,Jase Richardson,SG,6-1,180,"October 16, 2005",us US,R,Michigan State
93.0,Noah Penda,SF,6-7,215,"January 7, 2005",fr FR,R,
8.0,Jamal Cain (TW),SF,6-7,191,"March 20, 1999",us US,3,"Marquette, Oakland"
7.0,Orlando Robinson (TW),C,6-10,235,"July 10, 2000",us US,3,Fresno State
,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,7,Michigan
,Colin Castleton (TW),C,6-10,250,"May 25, 2000",us US,2,"Michigan, Florida"
