No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2.0,Brandin Podziemski,SG,6-4,205,"February 25, 2003",us US,2,"Illinois, Santa Clara"
7.0,Buddy Hield,SG,6-4,220,"December 17, 1992",bs BS,9,Oklahoma
21.0,Quinten Post,PF,7-0,238,"March 21, 2000",nl NL,1,"Mississippi State, Boston College"
4.0,Moses Moody,SG,6-5,211,"May 31, 2002",us US,4,Arkansas
0.0,Gary Payton II,SG,6-2,195,"December 1, 1992",us US,9,Oregon State
10.0,Jimmy Butler,SF,6-6,230,"September 14, 1989",us US,14,"Tyler Junior College, Marquette"
3.0,Will Richard,SG,6-3,206,"December 24, 2002",us US,R,"Belmont, Florida"
23.0,Draymond Green,PF,6-6,230,"March 4, 1990",us US,13,Michigan State
15.0,Gui Santos,PF,6-7,185,"June 22, 2002",br BR,2,
61.0,Pat Spencer (TW),PG,6-2,205,"July 4, 1996",us US,2,"Loyola (MD), Northwestern"
30.0,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,16,Davidson
1.0,Jonathan Kuminga,PF,6-7,225,"October 6, 2002",cd CD,4,
32.0,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",us US,2,Indiana
20.0,Al Horford,C,6-8,240,"June 3, 1986",do DO,18,Florida
8.0,De'Anthony Melton,PG,6-2,200,"May 28, 1998",us US,7,USC
31.0,Seth Curry,SG,6-1,185,"August 23, 1990",us US,11,"Liberty, Duke"
,LJ Cryer (TW),PG,6-1,202,"October 9, 2001",us US,R,"Baylor, Houston"
,Malevy Leons (TW),SF,6-9,210,"September 23, 1999",nl NL,1,"Mineral Area College, Bradley"
