No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
40,Harrison Barnes,PF,6-7,225,"May 30, 1992",us US,12,UNC
28,Charles Bassey,C,6-10,230,"October 28, 2000",ng NG,3,Western Kentucky
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,13,
22,Malaki Branham,SG,6-4,180,"May 12, 2003",us US,2,Ohio State
5,Stephon Castle,SG,6-6,215,"November 1, 2004",us US,R,UConn
30,Julian Champagnie,SF,6-7,217,"June 29, 2001",us US,2,St. John's
25,Sidy Cissoko,SF,6-6,220,"April 2, 2004",fr FR,1,
23,Zach Collins,C,6-9,250,"November 19, 1997",us US,6,Gonzaga
7,David Duke Jr.,SG,6-4,204,"October 13, 1999",us US,3,Providence
4,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,7,Kentucky
55,Harrison Ingram,SF,6-5,230,"November 27, 2002",us US,R,"Stanford, UNC"
0,Keldon Johnson,SF,6-6,220,"October 11, 1999",us US,5,Kentucky
33,Tre Jones,PG,6-1,185,"January 8, 2000",us US,4,Duke
54,Sandro Mamukelashvili,PF,6-9,240,"May 23, 1999",us US,3,Seton Hall
11,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,5,USC
27,Riley Minix,SF,6-7,230,"September 22, 2000",us US,R,"Southeastern University, Morehead State University"
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,19,Wake Forest
10,Jeremy Sochan,PF,6-8,230,"May 20, 2003",us US,2,Baylor
24,Devin Vassell,SG,6-5,200,"August 23, 2000",us US,4,Florida State
1,Victor Wembanyama,C,7-4,235,"January 4, 2004",fr FR,1,
14,Blake Wesley,SG,6-4,190,"March 16, 2003",us US,2,Notre Dame
