No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
13,Tony Bradley,C,6-10,248,"January 8, 1998",us US,6,UNC
3,Moses Brown,C,7-2,258,"October 13, 1999",us US,5,UCLA
3,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,7,Indiana
10,RayJ Dennis,PG,6-1,180,"March 30, 2001",us US,R,"Boise State, Toledo, Baylor"
8,Enrique Freeman,PF,6-9,220,"July 29, 2000",us US,R,University of Akron
12,Johnny Furphy,SG,6-8,200,"December 8, 2004",au AU,R,Kansas
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us US,4,Iowa State
22,Isaiah Jackson,C,6-8,205,"January 10, 2002",us US,3,Kentucky
29,Quenton Jackson,PG,6-4,173,"September 15, 1998",us US,2,Texas A&M
16,James Johnson,PF,6-7,240,"February 20, 1987",us US,15,Wake Forest
0,Bennedict Mathurin,SF,6-5,210,"June 19, 2002",ca CA,2,Arizona
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,9,"Duquesne, Arizona"
2,Andrew Nembhard,SG,6-4,191,"January 16, 2000",ca CA,2,"Florida, Gonzaga"
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,4,Vanderbilt
4,Tristen Newton,SG,6-5,190,"April 26, 2001",us US,R,"East Carolina University, UConn"
15,Jahlil Okafor,C,6-10,270,"December 15, 1995",us US,6,Duke
26,Ben Sheppard,SG,6-6,190,"July 16, 2001",us US,1,Belmont
43,Pascal Siakam,PF,6-8,245,"April 2, 1994",cm CM,8,New Mexico State
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us US,4,Dayton
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,9,Texas
5,Jarace Walker,PF,6-7,235,"September 4, 2003",us US,1,Houston
13,James Wiseman,C,6-11,240,"March 31, 2001",us US,3,Memphis
