No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Max Christie,SG,6-5,190,"February 10, 2003",us US,2,Michigan State
3,Anthony Davis,C,6-10,253,"March 11, 1993",us US,12,Kentucky
77,Luka Dončić,PG,6-8,230,"February 28, 1999",si SI,6,
17,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,8,Florida
30,Jordan Goodwin,PG,6-3,215,"October 23, 1998",us US,3,Saint Louis
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,5,Gonzaga
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,5,Texas
0,Jalen Hood-Schifino,SG,6-5,210,"June 19, 2003",us US,1,Indiana
9,Bronny James,SG,6-2,210,"October 6, 2004",us US,R,USC
23,LeBron James,SF,6-9,250,"December 30, 1984",us US,21,
55,Trey Jemison,C,6-10,270,"November 28, 1999",us US,1,"Clemson, UAB"
14,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,7,
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee"
10,Christian Koloko,C,6-11,225,"June 20, 2000",cm CM,1,Arizona
27,Alex Len,C,7-0,250,"June 16, 1993",ua UA,11,Maryland
20,Maxwell Lewis,SF,6-7,215,"July 27, 2002",us US,1,Pepperdine
20,Shake Milton,SG,6-5,205,"September 26, 1996",us US,6,SMU
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,13,Kansas
41,Quincy Olivari,PG,6-2,201,"May 27, 2001",us US,R,"Rice University, Xavier"
15,Austin Reaves,SG,6-5,197,"May 29, 1998",us US,3,"Wichita State, Oklahoma"
5,Cam Reddish,SF,6-7,230,"September 1, 1999",us US,5,Duke
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,9,Ohio State
94,Armel Traoré,SF,6-9,246,"January 23, 2003",fr FR,R,
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,6,Kentucky
7,Gabe Vincent,PG,6-2,200,"June 14, 1996",us US,5,UC Santa Barbara
