No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,12,Lehigh
7,Bub Carrington,PG,6-4,190,"July 21, 2005",us US,1,Pitt
18,Kyshawn George,SF,6-8,200,"December 12, 2003",ch CH,1,Miami (FL)
9,Justin Champagnie,SF,6-6,206,"June 29, 2001",us US,4,Pitt
1,Cam Whitmore,SF,6-6,230,"July 8, 2004",us US,2,Villanova
0,Tristan Vukcevic (TW),C,7-0,220,"March 11, 2003",it IT,2,
35,Marvin Bagley III,PF,6-10,235,"March 14, 1999",us US,7,Duke
27,Will Riley,SF,6-9,180,"February 10, 2006",ca CA,R,Illinois
12,Tre Johnson,SG,6-5,190,"March 7, 2006",us US,R,Texas
24,Corey Kispert,SF,6-6,224,"March 3, 1999",us US,4,Gonzaga
20,Alex Sarr,C,7-0,205,"April 26, 2005",fr FR,1,
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,13,Texas A&M
0,Bilal Coulibaly,SG,6-7,195,"July 26, 2004",fr FR,2,
8,Malaki Branham,SG,6-4,180,"May 12, 2003",us US,3,Ohio State
4,AJ Johnson,SG,6-5,160,"December 1, 2004",us US,1,
5,Jamir Watkins (TW),SG,6-6,210,"July 6, 2001",us US,R,"VCU, Florida State"
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,5,"South Carolina, Virginia"
13,Sharife Cooper (TW),PG,6-0,176,"June 11, 2001",us US,1,Auburn
