No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Jake LaRavia,PF,6-7,235,"November 3, 2001",us US,3,"Indiana State University, Wake Forest"
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,6,Gonzaga
5,Deandre Ayton,C,7-0,252,"July 23, 1998",bs BS,7,Arizona
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,6,Texas
15,Austin Reaves,SG,6-5,197,"May 29, 1998",us US,4,"Wichita State, Oklahoma"
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,1,"Northeastern Junior College, University of Northern Colorado, Tennessee"
77,Luka Dončić,PG,6-8,230,"February 28, 1999",si SI,7,
36,Marcus Smart,SG,6-3,220,"March 6, 1994",us US,11,Oklahoma State
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,7,Kentucky
7,Gabe Vincent,PG,6-2,200,"June 14, 1996",us US,6,UC Santa Barbara
9,Bronny James,SG,6-2,210,"October 6, 2004",us US,1,USC
14,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,8,
23,LeBron James,SF,6-9,250,"December 30, 1984",us US,22,
20,Nick Smith Jr. (TW),SG,6-2,185,"April 18, 2004",us US,2,Arkansas
1,Adou Thiero,SF,6-7,220,"May 8, 2004",us US,R,"Kentucky, Arkansas"
17,Drew Timme (TW),PF,6-9,235,"September 9, 2000",us US,1,Gonzaga
30,Chris Mañon (TW),SG,6-4,209,"December 9, 2001",us US,R,"Cornell, Vanderbilt"
