No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5.0,Dyson Daniels,SG,6-7,199,"March 17, 2003",au AU,3,
18.0,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn SN,2,Washington State
17.0,Onyeka Okongwu,C,6-10,240,"December 11, 2000",us US,5,USC
7.0,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,6,Virginia Tech
1.0,Jalen Johnson,SF,6-8,219,"December 18, 2001",us US,4,Duke
10.0,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",es ES,1,
3.0,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,8,Duke
27.0,Vit Krejci,PG,6-8,195,"June 19, 2000",cz CZ,4,
14.0,Asa Newell,PF,6-10,220,"October 5, 2005",us US,R,Georgia
8.0,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lv LV,9,
33.0,Caleb Houstan (TW),SF,6-8,205,"January 9, 2003",ca CA,3,Michigan
11.0,Trae Young,PG,6-2,164,"September 19, 1998",us US,7,Oklahoma
12.0,N'Faly Dante,C,6-11,230,"October 19, 2001",ml ML,1,Oregon
,Eli Ndiaye (TW),PF,6-8,209,"June 26, 2004",sn SN,R,
,Nikola Djurisic,SF,6-8,214,"February 23, 2004",be BE,R,
