Rk,Unnamed: 1,Salary
1,John Collins,"$23,000,000"
2,Danilo Gallinari,"$20,475,000"
3,Bogdan Bogdanović,"$18,000,000"
4,Clint Capela,"$17,103,448"
5,Delon Wright,"$8,526,316"
6,Trae Young,"$8,326,471"
7,De'Andre Hunter,"$7,775,400"
8,Onyeka Okongwu,"$6,104,280"
9,Kevin Knox,"$5,845,978"
10,Lou Williams,"$5,000,000"
11,Kevin Huerter,"$4,253,357"
12,Gorgui Dieng,"$4,000,000"
13,Jalen Johnson,"$2,659,560"
14,Timothé Luwawu-Cabarrot,"$1,939,350"
15,Lance Stephenson,"$138,019"
16,Wes Iwundu,"$102,831"
17,Chris Clemons,"$95,930"
18,Cameron Oliver,"$85,578"
19,Malcolm Hill,"$53,176"
20,Malik Ellison,"$53,176"
21,Justin Tillman,"$53,176"
22,Chaundee Brown,"$53,176"
23,Cat Barber,"$53,176"
24,Skylar Mays,"$34,231"
25,Sharife Cooper,$0
