Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Jayson Tatum,22.0,SF,5,5,185,24.1,0.577,0.324,0.441,1.8,17.2,9.1,22.8,1.6,4.1,8.9,33.3,0.5,-0.1,0.4,0.114,5.7,0.7,6.5,0.4,
2.0,Marcus Smart,26.0,PG,5,5,183,14.8,0.591,0.652,0.318,2.4,12.0,7.0,25.6,1.4,0.5,15.7,20.7,0.3,-0.2,0.1,0.027,1.3,-0.6,0.7,0.1,
3.0,Evan Fournier,28.0,SF,5,5,167,11.8,0.564,0.476,0.19,3.3,9.5,6.2,6.6,1.8,0.0,6.8,18.6,0.2,-0.1,0.1,0.015,-1.4,-0.8,-2.3,0.0,
4.0,Tristan Thompson,29.0,C,5,5,132,22.6,0.627,0.0,0.5,24.1,18.6,21.5,5.8,1.5,4.3,10.8,14.9,0.4,0.0,0.4,0.14,2.3,-0.9,1.4,0.1,
5.0,Romeo Langford,21.0,SG,4,2,109,11.7,0.533,0.531,0.125,5.0,5.6,5.3,6.7,1.4,1.7,2.9,13.5,0.1,-0.1,0.0,0.016,0.6,-0.8,-0.1,0.1,
6.0,Kemba Walker,30.0,PG,3,3,91,4.3,0.419,0.415,0.244,0.0,16.1,7.6,20.1,0.6,0.0,15.0,24.9,-0.2,-0.1,-0.3,-0.163,-6.0,-3.0,-9.1,-0.2,
7.0,Aaron Nesmith,21.0,SF,5,0,75,3.5,0.424,0.778,0.111,2.9,18.0,10.0,1.8,0.7,1.3,9.6,11.8,-0.1,-0.1,-0.1,-0.082,-4.9,-2.1,-7.0,-0.1,
8.0,Payton Pritchard,23.0,SG,5,0,67,10.1,0.475,0.588,0.118,3.3,12.8,7.8,25.2,1.5,0.0,14.4,13.2,0.0,-0.1,0.0,-0.01,-1.4,-0.8,-2.1,0.0,
9.0,Jabari Parker,25.0,PF,4,0,59,17.0,0.693,0.238,0.381,3.7,27.0,14.7,5.8,0.0,4.8,19.7,21.9,0.1,0.0,0.0,0.02,-0.9,0.5,-0.4,0.0,
10.0,Grant Williams,22.0,PF,5,0,57,14.6,0.638,0.333,0.25,5.8,15.0,10.1,10.1,0.9,6.6,7.0,10.6,0.1,0.0,0.1,0.084,0.4,1.7,2.1,0.1,
11.0,Robert Williams,23.0,C,3,0,46,27.2,0.638,0.0,0.143,19.1,18.6,18.9,7.2,1.1,18.5,6.3,14.6,0.1,0.0,0.2,0.18,3.1,4.8,7.9,0.1,
12.0,Semi Ojeleye,26.0,PF,2,0,12,-3.8,0.102,0.75,0.5,0.0,0.0,0.0,0.0,4.2,7.9,0.0,17.2,-0.1,0.0,-0.1,-0.314,-10.9,-3.0,-13.9,0.0,
13.0,Tremont Waters,23.0,PG,3,0,6,5.4,0.376,0.5,0.75,0.0,0.0,0.0,52.6,8.3,0.0,27.3,51.7,-0.1,0.0,-0.1,-0.46,-6.1,-3.0,-9.1,0.0,
14.0,Carsen Edwards,22.0,SG,2,0,5,34.9,0.833,0.667,0.0,0.0,24.5,11.6,0.0,0.0,0.0,0.0,25.4,0.0,0.0,0.0,0.186,12.6,0.6,13.2,0.0,
15.0,Luke Kornet,25.0,C,2,0,5,27.3,0.798,0.0,2.0,0.0,73.5,34.7,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.212,5.8,0.2,6.0,0.0,
16.0,Tacko Fall,25.0,C,1,0,1,11.9,,,,0.0,100.0,57.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.092,1.2,-0.5,0.7,0.0,
,Team Totals,,,5,5,1200,,0.56,0.415,0.311,,,,,,,,,1.5,-0.8,0.8,0.031,0.4,-0.4,0.0,0.6,
