Rk,Unnamed: 1,Salary
1,Stephen Curry,"$51,915,615"
2,Klay Thompson,"$43,219,440"
3,Chris Paul,"$30,800,000"
4,Andrew Wiggins,"$24,330,357"
5,Draymond Green,"$22,321,429"
6,Gary Payton,"$8,715,000"
7,Kevon Looney,"$7,500,000"
8,Jonathan Kuminga,"$6,012,840"
9,Moses Moody,"$3,918,480"
10,Brandin Podziemski,"$3,352,440"
11,Dario Šarić,"$2,019,706"
12,Trayce Jackson-Davis,"$1,119,563"
13,Gui Santos,"$1,029,483"
14,Lester Quinones,"$548,815"
15,Usman Garuba,"$11,608"
16,Lester Quinones,
17,Usman Garuba,
18,Jerome Robinson,
19,Pat Spencer,
