Rk,Unnamed: 1,Salary
1,Shai Gilgeous-Alexander,"$35,859,950"
2,Isaiah Hartenstein,"$30,000,000"
3,Luguentz Dort,"$16,500,000"
4,Isaiah Joe,"$12,991,650"
5,Chet Holmgren,"$10,880,640"
6,Aaron Wiggins,"$10,514,017"
7,Alex Caruso,"$9,890,000"
8,Kenrich Williams,"$6,669,000"
9,Cason Wallace,"$5,555,880"
10,Ousmane Dieng,"$5,027,040"
11,Nikola Topić,"$4,935,960"
12,Jalen Williams,"$4,775,760"
13,Ajay Mitchell,"$3,000,000"
14,Dillon Jones,"$2,622,360"
15,Daniel Theis,"$2,087,519"
16,Jaylin Williams,"$2,019,699"
17,Kevin Porter,"$1,000,000"
18,Branden Carlson,"$365,767"
19,Malevy Leons,"$126,356"
20,Branden Carlson,"$65,376"
21,Branden Carlson,"$65,376"
22,Ajay Mitchell,
23,Alex Ducas,
24,Adam Flagler,
25,Branden Carlson,
